month,app_revenue,mini_program_revenue,offline_revenue,app_orders,mini_program_orders,offline_orders,app_customers,mini_program_customers,offline_customers
2025-01,80261.37,51274.96,31621.9,631,327,234,203,112,55
2025-02,76154.06,50182.82,26592.62,576,365,250,232,133,118
2025-03,69710.26,50954.64,33244.55,674,466,271,204,117,91
2025-04,109298.43,75006.57,53293.34,494,344,200,206,97,78
2025-05,160105.8,98743.27,40609.74,497,341,186,317,158,119
2025-06,217522.7,142876.4,58104.8,1052,744,529,477,268,132
2025-07,118220.85,62732.8,53512.68,450,253,289,281,139,132
2025-08,117643.02,62979.16,41076.17,532,376,231,216,103,84
2025-09,92043.31,57856.21,22257.28,516,271,158,193,103,60
2025-10,76573.24,43889.96,44691.63,604,365,140,253,146,66
2025-11,173901.45,114811.64,46127.44,1316,678,497,400,210,177
2025-12,167216.01,116678.54,77470.1,1201,760,244,317,227,106
