customer_id,register_date,gender,age,city,membership_level,total_orders,total_amount,last_purchase_date,avg_monthly_visits
C0001,2025-08-02,男,32,深圳,银卡,12,1927.32,2025-12-01,39
C0002,2022-08-17,女,29,苏州,普通,18,4175.96,2025-12-22,44
C0003,2022-02-21,女,33,上海,银卡,19,5295.68,2025-12-21,1
C0004,2023-07-18,女,41,武汉,黑卡,88,20336.52,2025-09-26,29
C0005,2023-05-17,男,36,北京,银卡,22,3185.16,2025-12-13,29
C0006,2023-04-03,男,25,杭州,金卡,38,10939.04,2025-12-26,11
C0007,2022-10-13,男,38,上海,金卡,29,13384.41,2025-10-02,9
C0008,2022-07-29,女,34,广州,普通,2,766.4,2025-12-21,43
C0009,2025-10-17,女,40,北京,黑卡,92,20426.71,2025-12-10,10
C0010,2025-01-21,女,22,上海,普通,10,4288.98,2025-12-24,14
C0011,2022-06-28,男,39,武汉,银卡,43,6217.07,2025-09-06,15
C0012,2025-04-24,女,33,杭州,普通,19,3419.67,2025-08-26,16
C0013,2024-05-14,女,23,上海,普通,10,2309.68,2025-12-15,25
C0014,2022-03-07,男,25,成都,银卡,33,6650.93,2025-12-21,1
C0015,2022-03-03,男,42,杭州,普通,4,1618.7,2025-12-15,49
C0016,2022-07-11,男,35,广州,银卡,34,13394.57,2025-12-09,11
C0017,2023-03-24,男,42,武汉,银卡,49,11128.38,2025-07-12,50
C0018,2023-04-22,女,29,苏州,普通,10,5764.98,2025-12-25,25
C0019,2024-10-31,女,32,西安,普通,13,5674.9,2025-12-18,22
C0020,2025-05-17,男,44,西安,银卡,22,4413.19,2025-12-16,17
C0021,2022-02-24,女,43,西安,普通,17,9120.82,2025-08-07,31
C0022,2025-02-23,男,26,北京,金卡,89,8368.28,2025-12-23,48
C0023,2023-02-12,男,30,广州,金卡,83,20164.72,2025-12-12,37
C0024,2025-08-23,男,43,武汉,金卡,76,38454.57,2025-07-05,46
C0025,2025-12-07,女,32,杭州,金卡,30,4641.78,2025-12-28,2
C0026,2025-01-21,女,27,北京,银卡,43,6026.64,2025-12-05,37
C0027,2024-05-09,男,33,广州,金卡,25,11041.81,2025-12-06,2
C0028,2023-03-28,女,24,苏州,普通,14,797.76,2025-12-13,29
C0029,2024-07-08,女,34,成都,普通,11,2078.33,2025-08-14,0
C0030,2025-04-21,男,40,武汉,金卡,97,21721.39,2025-12-17,29
C0031,2023-07-24,女,43,西安,银卡,21,5804.49,2025-12-09,44
C0032,2022-01-14,男,38,上海,金卡,23,3154.86,2025-12-15,31
C0033,2022-11-23,男,39,武汉,金卡,31,7029.7,2025-12-23,27
C0034,2025-11-30,女,43,南京,金卡,49,17911.06,2025-12-28,20
C0035,2024-05-15,女,24,广州,黑卡,197,23918.57,2025-12-03,45
C0036,2023-11-28,女,31,深圳,银卡,42,9837.06,2025-12-14,12
C0037,2023-07-24,男,32,苏州,普通,1,172.77,2025-12-14,26
C0038,2022-11-15,男,38,成都,银卡,48,4200.93,2025-12-09,35
C0039,2023-03-17,女,24,苏州,银卡,22,3188.78,2025-12-26,6
C0040,2023-11-21,女,26,武汉,银卡,41,11849.96,2025-08-06,21
