customer_id,membership_level,join_date,points_balance,points_earned_total,points_redeemed,membership_years,annual_spend,referral_count,last_activity_date
C0001,银卡,2025-08-17,2511,25079,10510,2.5,7099.99,13,2025-11-09
C0002,普通,2022-08-28,4809,32899,13686,3.3,608.04,5,2024-05-29
C0003,银卡,2022-03-23,15045,50218,15667,2.6,4417.95,14,2025-04-23
C0004,黑卡,2023-07-31,70088,117864,58748,2.1,46696.93,13,2024-07-27
C0005,银卡,2023-06-09,12873,32504,12621,1.8,3022.14,17,2025-01-24
C0006,金卡,2023-04-26,47964,92727,73218,2.6,11964.61,13,2025-11-18
C0007,金卡,2022-11-06,45283,73065,33930,1.5,11398.42,2,2025-01-20
C0008,普通,2022-08-25,3807,35689,7556,3.8,2427.96,5,2024-08-14
C0009,黑卡,2025-11-09,47774,74711,73053,4.0,27017.59,15,2025-11-30
C0010,普通,2025-01-26,2273,44259,29723,4.8,2135.48,7,2024-06-20
C0011,银卡,2022-07-22,2052,34606,26457,1.5,3786.31,9,2024-12-25
C0012,普通,2025-05-07,4607,37631,29983,4.0,1629.81,4,2025-02-03
C0013,普通,2024-05-22,4959,6269,3807,3.2,1386.64,3,2025-11-03
C0014,银卡,2022-04-04,6761,46891,43727,4.8,5408.27,3,2025-04-17
C0015,普通,2022-03-06,881,27144,14273,2.8,2223.42,4,2024-07-28
C0016,银卡,2022-07-16,16102,34456,3974,3.2,2185.96,0,2025-12-22
C0017,银卡,2023-04-17,16841,38171,615,3.3,6801.99,5,2024-07-09
C0018,普通,2023-05-05,1541,37794,25413,3.1,1147.79,19,2024-06-23
C0019,普通,2024-10-31,2692,17131,9168,1.0,1352.21,2,2024-07-28
C0020,银卡,2025-06-02,4045,35578,14708,1.6,5913.56,6,2024-10-18
C0021,普通,2022-03-04,3428,21144,10163,4.9,1788.48,16,2025-06-01
C0022,金卡,2025-03-11,36244,84451,42545,3.2,18892.62,2,2025-04-07
C0023,金卡,2023-02-15,43306,61803,61718,1.4,13220.15,7,2024-10-01
C0024,金卡,2025-09-08,14218,51970,42995,2.6,19367.27,1,2025-07-31
C0025,金卡,2026-01-01,14360,35788,29821,0.9,14915.63,2,2024-08-06
C0026,银卡,2025-02-10,7756,45528,44323,2.2,7173.31,9,2025-09-04
C0027,金卡,2024-05-23,24142,55367,41616,1.7,16370.81,18,2024-03-07
C0028,普通,2023-04-09,3854,25890,21898,0.7,1655.15,9,2025-03-12
C0029,普通,2024-07-13,1573,11277,3820,2.5,2014.93,17,2025-11-14
C0030,金卡,2025-04-21,38101,43401,5244,2.9,16959.42,1,2025-02-04
C0031,银卡,2023-08-11,15838,31080,20940,3.8,7796.76,5,2024-01-06
C0032,金卡,2022-02-02,11886,35409,30960,2.5,11094.24,19,2024-04-08
C0033,金卡,2022-12-22,41340,83132,30976,0.8,17971.01,16,2025-08-17
C0034,金卡,2025-12-01,18918,32168,1461,3.0,12306.15,19,2024-05-06
C0035,黑卡,2024-05-28,45862,51280,14919,3.9,41471.48,1,2024-02-04
C0036,银卡,2023-12-16,16690,48088,14797,4.5,7531.6,17,2025-09-09
C0037,普通,2023-07-31,1854,23081,5801,0.9,1742.2,17,2024-01-11
C0038,银卡,2022-11-17,10625,33309,17314,1.9,4499.84,20,2024-11-05
C0039,银卡,2023-04-05,1367,46272,38020,2.4,7917.33,16,2025-07-15
C0040,银卡,2023-12-17,6906,53478,51855,2.1,5312.98,2,2025-06-15
C0041,金卡,2022-08-11,30029,51739,27538,3.2,11297.83,18,2025-03-17
C0042,金卡,2022-07-16,18690,58091,49048,2.1,13367.47,12,2025-02-09
C0043,银卡,2024-02-18,6624,47913,47353,2.3,7975.98,13,2024-01-24
C0044,普通,2022-08-12,1398,11894,11883,5.0,1045.2,9,2025-03-28
C0045,银卡,2024-02-02,9859,42920,29569,1.6,3839.5,11,2024-07-31
C0046,普通,2023-12-13,770,46746,21845,3.9,597.36,5,2024-06-06
C0047,金卡,2025-06-19,44420,85326,65519,2.8,17774.12,6,2025-02-27
C0048,普通,2023-07-15,1880,33997,17303,4.6,2233.56,3,2024-11-12
C0049,普通,2022-04-18,502,18594,11150,3.5,641.97,18,2024-11-07
C0050,普通,2024-08-08,3373,38695,7622,1.4,1607.14,3,2025-04-03
C0051,银卡,2025-02-02,9048,55582,51084,4.7,6019.54,18,2025-07-25
C0052,银卡,2022-09-15,7056,37129,21,0.6,6838.22,18,2025-08-07
C0053,普通,2024-02-28,1922,20138,9902,0.6,2600.49,1,2025-10-05
C0054,普通,2022-07-04,3554,9354,8893,2.1,1664.23,16,2025-12-08
C0055,银卡,2025-02-19,11245,56291,18409,4.3,4327.58,4,2024-07-21
C0056,普通,2023-09-23,2527,6845,4369,2.1,2700.4,2,2025-11-11
C0057,金卡,2025-07-12,10944,57296,56281,2.0,15605.15,6,2025-04-25
C0058,银卡,2025-06-29,4084,45872,2830,4.1,7159.28,6,2025-06-10
C0059,银卡,2024-01-21,18834,38013,19888,1.6,3897.82,10,2024-12-31
C0060,普通,2025-03-29,818,35426,28756,2.6,563.85,12,2025-09-20
C0061,黑卡,2023-02-20,70632,96013,95074,2.6,36924.63,17,2025-01-06
C0062,银卡,2025-12-23,10508,55428,52559,4.1,4951.58,6,2025-10-07
C0063,金卡,2022-06-15,27593,37948,14235,0.6,13484.42,3,2024-10-13
C0064,普通,2022-04-23,1377,29561,27646,1.4,1469.76,14,2024-04-03
C0065,银卡,2025-10-12,10716,39898,7672,2.2,2940.33,4,2025-05-10
C0066,普通,2023-04-30,4528,25811,17740,3.6,976.87,7,2025-03-17
C0067,银卡,2023-09-02,9871,59818,6077,2.7,6292.98,13,2024-02-29
C0068,黑卡,2022-06-17,50355,58339,22573,3.2,32536.73,20,2025-09-23
C0069,银卡,2023-05-21,2009,51142,25363,1.2,3695.13,12,2025-11-17
C0070,普通,2022-08-21,1288,44111,1280,2.4,1090.74,15,2024-01-24
C0071,普通,2024-02-22,2289,10110,5585,2.2,972.73,1,2025-09-05
C0072,银卡,2023-08-22,9016,49558,18973,3.0,5489.86,9,2024-07-21
C0073,普通,2024-08-07,3013,43667,10629,3.5,2010.04,2,2025-05-22
C0074,普通,2025-08-16,59,32469,15848,0.6,824.74,15,2024-04-09
C0075,金卡,2024-02-10,49382,77295,6745,1.0,13760.56,2,2025-02-28
C0076,银卡,2022-12-13,11081,28035,14909,1.7,6092.71,0,2024-10-26
C0077,普通,2024-02-12,3598,25629,19475,0.8,608.05,20,2025-12-25
C0078,黑卡,2024-01-05,83916,98697,76503,4.8,21555.05,6,2025-11-03
C0079,普通,2023-03-27,2875,20553,11792,4.8,717.5,17,2025-11-08
C0080,黑卡,2025-10-29,41909,82190,75985,1.8,49988.73,18,2025-01-09
C0081,普通,2023-07-04,966,27690,23531,1.9,845.61,2,2025-10-15
C0082,金卡,2026-01-07,43734,67138,39176,3.5,17499.06,19,2025-07-26
C0083,银卡,2025-11-05,14952,35911,31281,5.0,6806.98,3,2024-04-20
C0084,金卡,2025-09-19,14268,19082,13551,1.8,10410.85,16,2024-01-15
C0085,黑卡,2022-06-20,74087,97661,15383,5.0,20551.77,15,2024-10-19
C0086,普通,2025-06-07,3412,45541,6893,2.8,1094.73,9,2024-12-24
C0087,黑卡,2025-08-01,65909,94571,14090,3.8,39302.45,1,2025-05-17
C0088,银卡,2023-01-11,1264,21724,1678,0.7,6265.61,10,2024-09-09
C0089,银卡,2025-01-05,19872,27285,15863,3.0,6853.17,0,2024-10-05
C0090,普通,2023-06-12,2334,42501,37757,4.6,1211.86,3,2025-03-04
C0091,银卡,2022-12-25,4376,30906,15488,4.3,4702.94,7,2025-03-21
C0092,普通,2024-08-20,2530,31505,12851,3.1,1156.2,6,2025-08-11
C0093,银卡,2024-03-17,17219,52012,20098,2.7,6139.83,5,2024-11-03
C0094,银卡,2023-07-24,12519,51865,29463,3.3,3130.25,0,2024-09-18
C0095,金卡,2025-08-19,22609,50677,23727,1.6,19560.1,7,2025-05-20
C0096,金卡,2025-12-10,45333,61003,19000,2.8,9439.34,8,2024-08-06
C0097,银卡,2025-02-15,3128,50585,44145,1.1,4892.43,8,2025-12-06
C0098,普通,2023-04-04,1577,2197,1438,2.2,687.09,18,2024-08-27
C0099,普通,2025-11-19,3829,7194,3426,2.3,1559.7,11,2025-07-06
C0100,普通,2023-11-07,318,37493,22375,0.6,2030.94,13,2025-03-27
C0101,普通,2022-05-22,2620,16256,7558,4.1,2715.57,0,2025-07-16
C0102,普通,2023-05-14,2548,25648,4910,4.0,1962.9,15,2024-02-28
C0103,普通,2022-03-09,1099,49459,33537,1.6,2275.9,2,2025-12-29
C0104,黑卡,2023-10-30,69332,102482,74091,1.5,25988.72,8,2024-11-29
C0105,银卡,2024-04-10,11642,23780,14939,3.5,4068.06,16,2024-05-13
C0106,普通,2023-07-23,764,4863,1242,0.6,1628.71,15,2025-05-28
C0107,银卡,2022-05-20,2828,10153,2726,3.1,7931.78,12,2025-08-09
