customer_id,purchase_frequency_change,recency_score,spending_trend,engagement_score,complaint_score,churn_risk_score,risk_level
C0001,28,55,30,43,77,66.7,重点关注
C0002,60,85,22,54,80,39.2,低风险
C0003,43,30,67,66,55,51.8,持续观察
C0004,44,71,25,50,75,45.0,持续观察
C0005,55,55,26,91,86,51.3,持续观察
C0006,27,50,63,95,76,37.9,低风险
C0007,78,43,80,21,60,32.7,低风险
C0008,54,40,73,98,50,43.5,持续观察
C0009,57,49,70,78,22,47.8,持续观察
C0010,51,91,67,82,57,33.6,低风险
C0011,70,83,80,94,72,24.0,低风险
C0012,47,58,59,36,71,50.1,持续观察
C0013,75,20,22,73,43,52.9,持续观察
C0014,27,61,49,40,45,47.3,持续观察
C0015,60,96,43,41,92,35.0,低风险
C0016,42,24,86,74,56,42.5,持续观察
C0017,73,31,21,48,67,57.2,持续观察
C0018,42,48,63,98,86,49.5,持续观察
C0019,51,22,59,40,60,58.4,持续观察
C0020,29,80,38,21,68,45.8,持续观察
C0021,54,70,82,61,47,30.0,低风险
C0022,82,55,43,71,51,27.3,低风险
C0023,86,94,69,57,90,27.4,低风险
C0024,55,21,39,22,90,53.2,持续观察
C0025,68,48,76,44,51,47.7,持续观察
C0026,65,60,69,96,57,23.6,低风险
C0027,46,48,77,81,39,52.8,持续观察
C0028,50,83,50,34,27,46.4,持续观察
C0029,53,77,56,89,87,36.6,低风险
C0030,95,29,23,29,45,57.8,持续观察
C0031,78,30,77,92,98,21.1,低风险
C0032,73,26,29,88,89,46.7,持续观察
C0033,85,96,82,63,67,9.9,低风险
C0034,49,80,55,60,88,45.5,持续观察
C0035,92,85,74,39,65,15.0,低风险
C0036,42,72,76,56,77,32.1,低风险
C0037,28,84,62,58,89,34.6,低风险
C0038,74,46,84,96,86,23.5,低风险
C0039,20,26,31,89,48,55.2,持续观察
C0040,75,84,81,27,29,26.3,低风险
C0041,58,77,43,62,90,38.4,低风险
C0042,37,44,21,29,84,66.0,重点关注
C0043,61,67,66,60,84,44.3,持续观察
C0044,92,23,75,23,36,51.6,持续观察
C0045,94,27,35,97,41,43.4,持续观察
C0046,84,87,53,23,33,25.7,低风险
C0047,94,79,96,43,25,25.9,低风险
C0048,52,23,37,40,49,70.4,重点关注
C0049,49,27,48,29,66,63.0,重点关注
C0050,24,35,73,65,39,65.8,重点关注
C0051,69,38,70,89,35,41.9,持续观察
C0052,84,20,33,99,87,35.6,低风险
C0053,29,53,77,63,53,47.9,持续观察
C0054,79,64,54,52,20,36.7,低风险
C0055,96,82,28,55,96,21.2,低风险
C0056,46,25,56,44,67,49.4,持续观察
C0057,91,55,31,32,27,41.2,持续观察
C0058,47,85,30,58,41,50.8,持续观察
C0059,64,97,46,98,87,16.9,低风险
C0060,71,27,62,57,53,52.7,持续观察
C0061,85,86,69,49,79,25.0,低风险
C0062,81,46,39,33,64,53.0,持续观察
C0063,95,53,32,69,56,29.9,低风险
C0064,96,47,66,87,42,21.0,低风险
C0065,79,50,27,20,43,45.1,持续观察
C0066,59,36,88,80,32,42.5,持续观察
C0067,34,74,90,22,88,51.2,持续观察
C0068,26,94,83,69,99,37.8,低风险
C0069,58,28,63,80,79,42.1,持续观察
C0070,70,76,31,55,57,49.8,持续观察
C0071,26,64,23,23,67,67.4,重点关注
C0072,31,25,59,62,45,59.8,持续观察
C0073,33,33,38,33,96,62.7,重点关注
C0074,53,50,73,86,20,39.1,低风险
C0075,58,73,20,26,23,59.2,持续观察
C0076,92,30,32,27,86,37.9,低风险
C0077,83,88,69,63,99,11.9,低风险
C0078,31,21,72,83,32,54.4,持续观察
C0079,53,36,61,26,58,47.2,持续观察
C0080,46,55,44,67,50,57.6,持续观察
C0081,41,22,63,81,43,52.2,持续观察
C0082,37,82,80,44,98,32.0,低风险
C0083,65,62,40,87,24,31.6,低风险
C0084,63,52,70,83,68,25.9,低风险
C0085,37,97,95,37,30,27.1,低风险
C0086,56,48,99,23,43,40.6,持续观察
C0087,26,42,71,36,64,59.7,持续观察
C0088,87,78,82,66,93,18.8,低风险
C0089,99,68,73,64,53,20.8,低风险
C0090,79,74,29,77,30,45.4,持续观察
C0091,67,94,78,22,76,36.9,低风险
C0092,70,47,27,31,48,60.4,重点关注
C0093,71,90,70,36,41,26.7,低风险
