order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,line_total,payment_method,is_discount_used,channel
ORD0001,C0026,2024-10-08,配件,水杯,5,44.3,221.5,微信支付,是,APP
ORD0001,C0026,2024-10-08,盲盒,哈利波特盲盒,2,122.1,244.2,微信支付,是,APP
ORD0002,C0617,2024-01-28,手办,明日香手办,5,333.52,1667.6,银行卡,否,APP
ORD0002,C0617,2024-01-28,盲盒,迪士尼盲盒,4,76.48,305.92,银行卡,否,APP
ORD0002,C0617,2024-01-28,手办,悟空手办,3,330.44,991.32,银行卡,否,APP
ORD0002,C0617,2024-01-28,服饰,围巾,3,95.19,285.57,银行卡,否,APP
ORD0002,C0617,2024-01-28,配件,耳机壳,1,30.33,30.33,银行卡,否,APP
ORD0003,C0550,2024-05-07,配件,台灯,1,117.28,117.28,支付宝,否,APP
ORD0003,C0550,2024-05-07,手办,绫波丽手办,1,352.38,352.38,支付宝,否,APP
ORD0003,C0550,2024-05-07,盲盒,潘神盲盒,3,78.26,234.78,支付宝,否,APP
ORD0003,C0550,2024-05-07,周边,明信片,3,14.57,43.71,支付宝,否,APP
ORD0004,C0687,2024-09-30,配件,台灯,2,128.03,256.06,银行卡,否,线下
ORD0004,C0687,2024-09-30,周边,海报,2,46.66,93.32,银行卡,否,线下
ORD0004,C0687,2024-09-30,盲盒,Bunny盲盒,1,73.21,73.21,银行卡,否,线下
ORD0005,C0411,2024-10-01,手办,明日香手办,4,375.85,1503.4,微信支付,否,APP
ORD0005,C0411,2024-10-01,服饰,睡衣,3,147.54,442.62,微信支付,否,APP
ORD0005,C0411,2024-10-01,配件,鼠标垫,3,36.73,110.19,微信支付,否,APP
ORD0005,C0411,2024-10-01,服饰,袜子套装,4,47.65,190.6,微信支付,否,APP
ORD0006,C0142,2025-06-05,手办,佐助手办,4,263.99,1055.96,支付宝,否,APP
ORD0006,C0142,2025-06-05,服饰,运动鞋,5,438.59,2192.95,支付宝,否,APP
ORD0007,C0542,2024-09-14,配件,耳机壳,3,26.75,80.25,银行卡,否,APP
ORD0007,C0542,2024-09-14,服饰,睡衣,4,143.2,572.8,银行卡,否,APP
ORD0008,C0740,2024-09-26,周边,海报,5,42.29,211.45,银行卡,否,APP
ORD0008,C0740,2024-09-26,周边,明信片,5,16.36,81.8,银行卡,否,APP
ORD0009,C0945,2025-06-27,盲盒,Yuki盲盒,3,55.93,167.79,微信支付,否,线下
ORD0009,C0945,2025-06-27,手办,海贼王手办,1,237.54,237.54,微信支付,否,线下
ORD0010,C0498,2024-03-11,配件,蓝牙音箱,3,200.1,600.3,银行卡,是,APP
ORD0010,C0498,2024-03-11,配件,手机壳,2,53.2,106.4,银行卡,是,APP
ORD0010,C0498,2024-03-11,手办,绫波丽手办,4,361.58,1446.32,银行卡,是,APP
ORD0010,C0498,2024-03-11,周边,钥匙扣,5,28.72,143.6,银行卡,是,APP
ORD0010,C0498,2024-03-11,手办,悟空手办,1,347.37,347.37,银行卡,是,APP
ORD0011,C0603,2025-07-21,盲盒,Bunny盲盒,1,74.59,74.59,微信支付,是,线下
ORD0011,C0603,2025-07-21,周边,帆布包,5,74.86,374.3,微信支付,是,线下
ORD0012,C0686,2025-05-12,手办,明日香手办,4,327.39,1309.56,微信支付,是,线下
ORD0012,C0686,2025-05-12,盲盒,潘神盲盒,3,77.79,233.37,微信支付,是,线下
ORD0012,C0686,2025-05-12,服饰,拖鞋,1,62.94,62.94,微信支付,是,线下
ORD0012,C0686,2025-05-12,周边,帆布包,2,74.13,148.26,微信支付,是,线下
ORD0012,C0686,2025-05-12,配件,充电宝,2,97.45,194.9,微信支付,是,线下
ORD0013,C0286,2025-04-18,盲盒,海贼王盲盒,1,97.35,97.35,微信支付,否,APP
ORD0013,C0286,2025-04-18,手办,佐助手办,4,258.26,1033.04,微信支付,否,APP
ORD0014,C0219,2025-02-14,周边,钥匙扣,3,28.55,85.65,微信支付,否,APP
ORD0014,C0219,2025-02-14,配件,充电宝,2,92.86,185.72,微信支付,否,APP
ORD0014,C0219,2025-02-14,手办,柯南手办,5,313.1,1565.5,微信支付,否,APP
ORD0014,C0219,2025-02-14,盲盒,Yuki盲盒,1,53.69,53.69,微信支付,否,APP
ORD0014,C0219,2025-02-14,服饰,帽子,5,73.59,367.95,微信支付,否,APP
ORD0015,C0984,2025-06-04,手办,高达模型,1,325.41,325.41,微信支付,是,APP
ORD0015,C0984,2025-06-04,配件,台灯,5,131.44,657.2,微信支付,是,APP
ORD0016,C0635,2024-03-24,周边,冰箱贴,3,18.01,54.03,支付宝,否,线下
ORD0016,C0635,2024-03-24,服饰,睡衣,3,157.64,472.92,支付宝,否,线下
ORD0016,C0635,2024-03-24,盲盒,Molly系列盲盒,4,91.16,364.64,支付宝,否,线下
