customer_id,avg_browse_duration_min,monthly_page_views,search_keywords_count,cart_add_count,cart_abandon_rate,click_through_rate,email_open_rate,complaint_count,has_complaint_last_month
C0001,23.99,252,5,3,0.36,0.152,0.351,0,是
C0002,4.72,224,21,14,0.63,0.069,0.14,5,是
C0003,2.57,252,39,18,0.61,0.028,0.184,0,是
C0004,98.63,46,12,34,0.65,0.241,0.781,5,否
C0005,44.76,84,31,18,0.66,0.009,0.275,3,否
C0006,24.29,334,0,25,0.16,0.234,0.479,2,是
C0007,10.77,487,21,6,0.09,0.102,0.569,5,否
C0008,18.76,38,10,13,0.01,0.1,0.295,1,否
C0009,40.56,23,66,10,0.63,0.198,1.045,5,否
C0010,25.19,19,23,11,0.59,0.121,0.064,5,否
C0011,6.15,288,29,12,0.74,0.186,0.11,3,是
C0012,4.26,51,13,14,0.32,0.049,0.11,2,是
C0013,6.36,9,8,15,0.07,0.111,0.047,1,否
C0014,44.65,176,5,8,0.55,0.115,0.268,2,是
C0015,4.99,161,1,7,0.65,0.145,0.129,4,是
C0016,19.79,56,6,21,0.25,0.156,0.433,2,否
C0017,12.53,357,8,20,0.79,0.152,0.004,5,否
C0018,0.97,17,3,0,0.55,0.136,0.122,3,否
C0019,11.06,231,25,4,0.56,0.056,0.177,2,否
C0020,13.68,348,8,24,0.22,0.115,0.051,2,否
C0021,13.03,30,1,8,0.05,0.018,0.235,0,是
C0022,14.92,500,56,30,0.37,0.083,0.324,2,是
C0023,35.21,265,39,1,0.49,0.186,0.585,5,否
C0024,32.24,96,44,0,0.78,0.039,0.247,0,否
C0025,6.08,318,2,15,0.41,0.089,0.333,1,否
C0026,3.83,23,14,8,0.87,0.229,0.236,1,否
C0027,12.6,438,14,0,0.02,0.157,0.251,4,否
C0028,13.4,182,13,9,0.23,0.004,0.036,0,否
C0029,5.97,174,24,3,0.55,0.023,0.243,3,否
C0030,60.36,552,30,15,0.74,0.028,0.421,4,是
C0031,39.87,290,24,0,0.03,0.235,0.193,3,是
C0032,22.36,208,48,21,0.02,0.024,0.084,3,否
C0033,47.99,81,19,1,0.02,0.236,0.422,4,是
C0034,59.08,351,57,26,0.77,0.227,0.194,0,否
C0035,26.92,660,7,18,0.71,0.023,0.659,4,是
C0036,38.78,125,32,20,0.54,0.119,0.438,4,否
C0037,19.17,168,2,3,0.42,0.066,0.036,3,否
C0038,28.94,310,14,2,0.37,0.092,0.048,1,否
C0039,13.76,24,24,12,0.51,0.06,0.399,2,否
C0040,8.78,305,35,24,0.46,0.142,0.139,4,是
C0041,71.69,279,0,2,0.64,0.328,0.119,3,是
C0042,1.89,292,3,19,0.41,0.325,0.608,0,是
C0043,19.72,348,8,16,0.6,0.007,0.386,5,否
C0044,2.85,240,17,15,0.88,0.013,0.111,5,否
C0045,43.24,371,5,1,0.88,0.231,0.351,4,否
C0046,27.83,132,0,13,0.74,0.011,0.164,3,否
C0047,21.9,90,12,28,0.11,0.341,0.636,4,是
C0048,17.13,115,16,5,0.39,0.002,0.052,0,否
C0049,16.2,109,15,5,0.43,0.014,0.253,1,否
C0050,16.9,79,19,6,0.08,0.097,0.025,1,否
C0051,32.37,245,13,20,0.15,0.161,0.269,4,是
C0052,22.24,312,20,14,0.85,0.161,0.407,5,是
C0053,8.01,153,11,3,0.64,0.039,0.237,4,否
C0054,3.37,111,1,7,0.81,0.096,0.053,2,是
C0055,16.0,158,17,2,0.7,0.11,0.383,5,否
C0056,5.45,166,1,14,0.54,0.063,0.192,4,否
C0057,27.63,158,55,9,0.84,0.155,0.191,4,否
C0058,7.28,185,0,3,0.5,0.025,0.068,2,是
C0059,39.62,170,13,13,0.49,0.0,0.464,1,否
C0060,16.04,138,22,8,0.21,0.006,0.131,2,否
C0061,51.79,702,59,25,0.54,0.037,0.024,0,是
C0062,14.4,91,5,14,0.81,0.239,0.119,5,是
C0063,71.9,542,15,26,0.37,0.084,0.342,3,是
C0064,10.25,66,1,14,0.23,0.083,0.028,2,是
C0065,43.68,151,13,19,0.27,0.035,0.06,0,否
C0066,9.54,10,6,11,0.26,0.004,0.17,3,是
C0067,22.56,307,24,22,0.82,0.179,0.371,1,否
C0068,64.21,536,86,30,0.57,0.295,1.033,5,是
C0069,41.58,192,28,3,0.09,0.019,0.13,4,是
C0070,23.62,217,10,9,0.17,0.059,0.113,2,否
C0071,18.49,140,19,12,0.82,0.105,0.175,5,否
C0072,14.96,211,19,14,0.28,0.214,0.043,2,否
C0073,29.37,208,21,0,0.1,0.092,0.217,5,是
C0074,1.76,178,24,7,0.9,0.037,0.279,5,是
C0075,25.29,49,36,2,0.38,0.262,0.163,4,否
C0076,9.94,132,12,10,0.88,0.155,0.048,4,否
C0077,9.83,155,1,6,0.44,0.007,0.178,5,否
C0078,87.16,282,59,32,0.23,0.025,0.994,3,否
C0079,23.57,192,17,9,0.39,0.075,0.015,3,否
C0080,17.48,763,90,52,0.28,0.229,0.393,3,否
C0081,16.13,9,18,7,0.7,0.046,0.096,1,是
C0082,56.25,500,45,0,0.38,0.087,0.563,2,否
C0083,42.04,324,6,21,0.57,0.185,0.162,2,是
C0084,7.8,393,25,22,0.55,0.082,0.039,5,否
C0085,17.31,180,12,9,0.14,0.098,0.823,3,否
C0086,28.93,124,22,10,0.43,0.06,0.229,4,是
C0087,42.14,104,9,9,0.25,0.531,0.1,4,否
C0088,25.6,215,32,9,0.89,0.001,0.434,4,是
C0089,5.2,244,26,9,0.43,0.119,0.268,1,是
C0090,5.19,154,11,7,0.84,0.135,0.279,2,否
C0091,6.48,297,20,20,0.24,0.039,0.39,0,是
C0092,21.91,237,5,0,0.18,0.038,0.221,3,否
C0093,10.94,145,35,14,0.66,0.208,0.255,3,否
C0094,46.74,264,8,8,0.89,0.228,0.084,1,是
C0095,48.37,432,57,8,0.45,0.316,0.261,2,是
C0096,2.26,585,32,9,0.27,0.132,0.47,2,是
C0097,41.75,349,3,2,0.13,0.046,0.449,3,否
C0098,23.09,159,24,11,0.66,0.074,0.282,5,是
C0099,13.52,233,24,6,0.69,0.036,0.088,5,是
C0100,14.68,10,6,13,0.75,0.081,0.206,0,否
C0101,10.61,5,20,8,0.05,0.127,0.182,3,是
C0102,24.8,67,10,11,0.57,0.005,0.183,1,否
C0103,21.58,131,4,4,0.56,0.034,0.254,2,是
C0104,3.86,856,79,45,0.57,0.056,0.075,3,否
C0105,22.76,120,25,22,0.06,0.102,0.475,2,否
C0106,7.63,174,11,4,0.24,0.008,0.16,4,否
C0107,33.04,198,30,15,0.2,0.169,0.265,0,否
C0108,7.23,155,3,2,0.48,0.144,0.154,2,否
C0109,38.59,236,29,10,0.89,0.127,0.373,5,是
C0110,14.69,132,24,14,0.63,0.201,0.05,3,是
C0111,12.18,99,1,20,0.08,0.175,0.287,5,否
C0112,34.1,75,13,3,0.81,0.2,0.311,4,否
C0113,17.58,225,27,32,0.71,0.082,0.122,5,否
C0114,2.17,571,12,36,0.79,0.076,0.124,4,是
C0115,34.16,232,10,4,0.13,0.011,0.056,1,是
C0116,8.43,4,0,1,0.62,0.093,0.208,0,是
C0117,43.68,212,32,15,0.6,0.134,0.385,3,否
C0118,3.65,142,2,13,0.27,0.056,0.239,2,是
C0119,44.03,100,28,7,0.84,0.156,0.308,0,是
C0120,23.59,73,13,12,0.68,0.128,0.192,1,否
C0121,14.85,358,29,8,0.75,0.19,0.017,1,是
C0122,21.94,311,20,23,0.16,0.089,0.391,2,否
C0123,13.13,21,10,0,0.81,0.007,0.13,5,否
C0124,45.58,93,7,0,0.81,0.212,0.401,0,是
C0125,76.04,829,25,16,0.0,0.241,0.35,3,否
C0126,55.61,294,2,19,0.55,0.132,0.404,1,否
C0127,20.15,86,14,13,0.13,0.128,0.272,4,否
C0128,11.47,378,34,30,0.01,0.084,0.312,4,是
C0129,14.17,177,21,10,0.44,0.092,0.109,2,否
C0130,13.0,284,4,21,0.41,0.136,0.499,1,是
C0131,0.67,24,4,6,0.79,0.115,0.108,5,是
